2024-07-26 09:49:04.062 | INFO | common.get_token:onelap_login:23 | 获取onelap登录token
2024-07-26 09:49:04.187 | INFO | common.get_token:onelap_login:23 | 获取onelap登录token
2024-07-26 09:49:04.277 | INFO | POM.api.base_page.base_page:post_request:18 | 发送POST请求http://rfs-fitness-informal.rfsvr.net/indoor/v1/app/social/share成功
2024-07-26 09:49:04.405 | INFO | common.get_token:onelap_login:23 | 获取onelap登录token
2024-07-26 09:49:04.481 | INFO | POM.api.base_page.base_page:post_request:18 | 发送POST请求http://rfs-fitness-informal.rfsvr.net/indoor/v1/app/social/share成功
2024-07-26 09:49:04.600 | INFO | common.get_token:onelap_login:23 | 获取onelap登录token
2024-07-26 09:49:04.678 | INFO | POM.api.base_page.base_page:post_request:18 | 发送POST请求http://rfs-fitness-informal.rfsvr.net/indoor/v1/app/social/share成功
2024-07-26 09:49:04.793 | INFO | common.get_token:onelap_login:23 | 获取onelap登录token
2024-07-26 09:49:04.869 | INFO | POM.api.base_page.base_page:post_request:18 | 发送POST请求http://rfs-fitness-informal.rfsvr.net/indoor/v1/app/social/share成功
2024-07-26 10:13:10.047 | INFO | common.get_token:onelap_login:23 | 获取onelap登录token
2024-07-26 10:13:10.186 | INFO | common.get_token:onelap_login:23 | 获取onelap登录token
2024-07-26 10:13:10.307 | INFO | common.get_token:onelap_login:23 | 获取onelap登录token
2024-07-26 10:35:13.353 | INFO | common.get_token:onelap_login:23 | 获取onelap登录token
2024-07-26 10:35:13.527 | INFO | common.get_token:onelap_login:23 | 获取onelap登录token
2024-07-26 10:41:46.668 | INFO | common.get_token:onelap_login:23 | 获取onelap登录token
2024-07-26 10:41:46.839 | INFO | common.get_token:onelap_login:23 | 获取onelap登录token
2024-07-26 10:41:46.966 | INFO | POM.api.base_page.base_page:post_request:18 | 发送POST请求http://rfs-fitness-informal.rfsvr.net/api/account/v1/login成功
2024-07-26 10:41:46.967 | INFO | POM.api.page_object.account_page:login:19 | 登录成功，获取13001723386用户信息成功
2024-07-26 10:41:46.968 | INFO | POM.api.page_object.account_page:login:25 | 记录token：eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJrZXkiOiJkaXN0cmljdF9yZWxlYXNlIiwiaXNzIjoyMzgzMjUsInBsYXRmb3JtIjoyMiwibmJmIjoxNzIxOTYxNjY3LCJleHAiOjE3MjIwNDgxMjd9.JTyuxhDT3tk8TFt8zvzTEsyEQUGqEBx0z6dFglkrAGI
2024-07-26 10:41:47.124 | INFO | POM.api.base_page.base_page:post_request:18 | 发送POST请求http://rfs-fitness-informal.rfsvr.net/api/account/v1/login成功
2024-07-26 10:41:47.125 | INFO | POM.api.page_object.account_page:login:19 | 登录成功，获取17753163583用户信息成功
2024-07-26 10:41:47.125 | INFO | POM.api.page_object.account_page:login:25 | 记录token：eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJrZXkiOiJkaXN0cmljdF9yZWxlYXNlIiwiaXNzIjoyMzg0OTIsInBsYXRmb3JtIjoyMiwibmJmIjoxNzIxOTYxNjY3LCJleHAiOjE3MjIwNDgxMjd9.XpVCmA3rWsNGF13g-9i2aVSXFOdGxBsUpwPgfZJ-J0A
2024-07-26 10:41:47.258 | INFO | POM.api.base_page.base_page:post_request:18 | 发送POST请求http://rfs-fitness-informal.rfsvr.net/api/account/v1/login成功
2024-07-26 10:41:47.259 | INFO | POM.api.page_object.account_page:login:19 | 登录成功，获取0933876228用户信息成功
2024-07-26 10:41:47.259 | INFO | POM.api.page_object.account_page:login:25 | 记录token：eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJrZXkiOiJkaXN0cmljdF9yZWxlYXNlIiwiaXNzIjo2MTM4OSwicGxhdGZvcm0iOjIyLCJuYmYiOjE3MjE5NjE2NjcsImV4cCI6MTcyMjA0ODEyN30.J00wYJ9b3p6vtlCXtn5A5rggDOEoXqfNZQs9W7rgngg
2024-07-26 10:41:47.361 | INFO | POM.api.base_page.base_page:post_request:18 | 发送POST请求http://rfs-fitness-informal.rfsvr.net/api/account/v1/login成功
2024-07-26 10:41:47.361 | ERROR | POM.api.page_object.account_page:login:21 | 登录失败，用户名为：13001723386，密码为：123
2024-07-26 10:41:47.476 | INFO | POM.api.base_page.base_page:post_request:18 | 发送POST请求http://rfs-fitness-informal.rfsvr.net/indoor/v1/app/user/passwd_check成功
2024-07-26 10:41:47.476 | INFO | POM.api.page_object.account_page:check_passwd:39 | 密码校验成功
2024-07-26 10:41:47.480 | INFO | common.logger:wrapper:44 | 函数 account_cancellation 开始执行，入参:(<POM.api.page_object.account_page.OnelapLogin object at 0x000001F070F657F0>,){}
2024-07-26 10:41:47.629 | INFO | POM.api.base_page.base_page:get_request:27 | 发送GET请求http://rfs-fitness-informal.rfsvr.net/indoor/v1/app/user/cancellation成功
2024-07-26 10:41:47.629 | INFO | POM.api.page_object.account_page:account_cancellation:52 | 账号注销申请提交成功，七天内无登录，则注销成功。
2024-07-26 10:41:47.630 | INFO | common.logger:wrapper:49 | 函数 account_cancellation 执行完成，函数返回结果：{'code': 200, 'error': 'success', 'data': []}

2024-07-26 10:41:47.773 | INFO | common.get_token:onelap_login:23 | 获取onelap登录token
2024-07-26 10:41:47.925 | INFO | common.get_token:onelap_login:23 | 获取onelap登录token
2024-07-26 10:41:47.926 | INFO | common.logger:wrapper:44 | 函数 data_analysis 开始执行，入参:(<POM.api.page_object.stats_PMC_page.DataAnalysis object at 0x000001F070FBD910>, 7){}
2024-07-26 10:41:48.016 | INFO | POM.api.base_page.base_page:get_request:27 | 发送GET请求http://rfs-fitness-informal.rfsvr.net/indoor/v1/app/analysis/data成功
2024-07-26 10:41:48.016 | INFO | common.logger:wrapper:49 | 函数 data_analysis 执行完成，函数返回结果：{'code': 200, 'error': 'Success', 'data': {'time': 0, 'cal': 0, 'distance': 0, 'tss': 0, 'num': 0, 'days': 0}}

2024-07-26 10:41:48.020 | INFO | common.logger:wrapper:44 | 函数 data_analysis 开始执行，入参:(<POM.api.page_object.stats_PMC_page.DataAnalysis object at 0x000001F070FBD910>, 28){}
2024-07-26 10:41:48.110 | INFO | POM.api.base_page.base_page:get_request:27 | 发送GET请求http://rfs-fitness-informal.rfsvr.net/indoor/v1/app/analysis/data成功
2024-07-26 10:41:48.111 | INFO | common.logger:wrapper:49 | 函数 data_analysis 执行完成，函数返回结果：{'code': 200, 'error': 'Success', 'data': {'time': 0, 'cal': 0, 'distance': 0, 'tss': 0, 'num': 0, 'days': 0}}

2024-07-26 10:41:48.115 | INFO | common.logger:wrapper:44 | 函数 data_analysis 开始执行，入参:(<POM.api.page_object.stats_PMC_page.DataAnalysis object at 0x000001F070FBD910>, 84){}
2024-07-26 10:41:48.197 | INFO | POM.api.base_page.base_page:get_request:27 | 发送GET请求http://rfs-fitness-informal.rfsvr.net/indoor/v1/app/analysis/data成功
2024-07-26 10:41:48.199 | INFO | common.logger:wrapper:49 | 函数 data_analysis 执行完成，函数返回结果：{'code': 200, 'error': 'Success', 'data': {'time': 0, 'cal': 0, 'distance': 0, 'tss': 0, 'num': 0, 'days': 0}}

2024-07-26 10:41:48.203 | INFO | common.logger:wrapper:44 | 函数 data_analysis 开始执行，入参:(<POM.api.page_object.stats_PMC_page.DataAnalysis object at 0x000001F070FBD910>, 1){}
2024-07-26 10:41:48.320 | INFO | POM.api.base_page.base_page:get_request:27 | 发送GET请求http://rfs-fitness-informal.rfsvr.net/indoor/v1/app/analysis/data成功
2024-07-26 10:41:48.321 | INFO | common.logger:wrapper:49 | 函数 data_analysis 执行完成，函数返回结果：{'code': 200, 'error': 'Success', 'data': {'time': 71410.95, 'cal': 22215.46, 'distance': 638816.01, 'tss': 47735.61657372177, 'num': 198, 'elevation': 7233, 'days': 36}}

2024-07-26 10:41:48.329 | INFO | common.logger:wrapper:44 | 函数 total_data_analysis 开始执行，入参:(<POM.api.page_object.stats_PMC_page.DataAnalysis object at 0x000001F070FBD910>,){}
2024-07-26 10:41:48.451 | INFO | POM.api.base_page.base_page:get_request:27 | 发送GET请求http://rfs-fitness-informal.rfsvr.net/indoor/v1/app/analysis/data成功
2024-07-26 10:41:48.451 | INFO | common.logger:wrapper:49 | 函数 total_data_analysis 执行完成，函数返回结果：{'code': 200, 'error': 'Success', 'data': {'time': 99784.03, 'cal': 30627.63, 'distance': 873893.11, 'tss': 54843.91657372177, 'num': 306, 'elevation': 11338.5, 'days': 49}}

2024-07-26 10:41:48.455 | INFO | common.logger:wrapper:44 | 函数 detail_analysis 开始执行，入参:(<POM.api.page_object.stats_PMC_page.DataAnalysis object at 0x000001F070FBD910>, 7){}
2024-07-26 10:41:48.541 | INFO | POM.api.base_page.base_page:get_request:27 | 发送GET请求http://rfs-fitness-informal.rfsvr.net/indoor/v1/app/analysis/detail成功
2024-07-26 10:41:48.542 | INFO | common.logger:wrapper:49 | 函数 detail_analysis 执行完成，函数返回结果：{'code': 200, 'error': 'Success', 'data': {}}

2024-07-26 10:41:48.547 | INFO | common.logger:wrapper:44 | 函数 detail_analysis 开始执行，入参:(<POM.api.page_object.stats_PMC_page.DataAnalysis object at 0x000001F070FBD910>, 28){}
